ipAddress,countryCode,abuseConfidenceScore,lastReportedAt,target
192.3.248.137,US,100,2024-09-19T10:17:02+00:00,1
54.37.73.222,FR,100,2024-09-19T10:17:01+00:00,1
37.188.86.125,HU,100,2024-09-19T10:17:01+00:00,1
103.150.125.250,VN,100,2024-09-19T10:17:01+00:00,1
197.159.218.209,CI,100,2024-09-19T10:17:01+00:00,1
47.106.209.27,CN,100,2024-09-19T10:17:01+00:00,1
154.213.184.25,NL,100,2024-09-19T10:17:01+00:00,1
80.94.95.81,MD,100,2024-09-19T10:17:01+00:00,1
223.71.98.202,CN,100,2024-09-19T10:17:00+00:00,1
211.18.223.253,JP,100,2024-09-19T10:17:00+00:00,1
206.168.34.143,US,100,2024-09-19T10:17:00+00:00,1
185.104.44.110,UA,100,2024-09-19T10:17:00+00:00,1
211.35.237.38,KR,100,2024-09-19T10:17:00+00:00,1
200.43.231.2,AR,100,2024-09-19T10:17:00+00:00,1
93.123.194.205,RU,100,2024-09-19T10:16:59+00:00,1
141.94.23.12,FR,100,2024-09-19T10:16:59+00:00,1
50.208.119.170,US,100,2024-09-19T10:16:59+00:00,1
95.209.141.239,SE,100,2024-09-19T10:16:59+00:00,1
94.158.18.129,RU,100,2024-09-19T10:16:59+00:00,1
15.235.143.116,CA,100,2024-09-19T10:16:57+00:00,1
167.99.74.165,SG,100,2024-09-19T10:16:57+00:00,1
103.177.181.86,IN,100,2024-09-19T10:16:57+00:00,1
79.110.62.49,NL,100,2024-09-19T10:16:56+00:00,1
172.206.147.183,US,100,2024-09-19T10:16:56+00:00,1
134.209.200.196,NL,100,2024-09-19T10:16:56+00:00,1
118.194.251.75,TH,100,2024-09-19T10:16:55+00:00,1
147.185.133.157,US,100,2024-09-19T10:16:55+00:00,1
23.94.160.137,US,100,2024-09-19T10:16:55+00:00,1
80.66.83.48,PL,100,2024-09-19T10:16:55+00:00,1
171.22.31.194,DE,100,2024-09-19T10:16:55+00:00,1
184.17.86.131,US,100,2024-09-19T10:16:55+00:00,1
103.181.143.73,ID,100,2024-09-19T10:16:55+00:00,1
162.241.126.153,US,100,2024-09-19T10:16:55+00:00,1
20.204.98.63,IN,100,2024-09-19T10:16:55+00:00,1
185.6.105.150,BA,100,2024-09-19T10:16:54+00:00,1
115.247.46.126,IN,100,2024-09-19T10:16:54+00:00,1
79.110.62.172,NL,100,2024-09-19T10:16:54+00:00,1
36.138.130.222,CN,100,2024-09-19T10:16:54+00:00,1
146.190.244.91,CA,100,2024-09-19T10:16:54+00:00,1
206.189.183.24,US,100,2024-09-19T10:16:54+00:00,1
103.145.133.179,BD,100,2024-09-19T10:16:53+00:00,1
119.28.118.4,SG,100,2024-09-19T10:16:53+00:00,1
170.106.141.183,US,100,2024-09-19T10:16:53+00:00,1
94.156.65.239,NL,100,2024-09-19T10:16:53+00:00,1
139.59.188.13,GB,100,2024-09-19T10:16:53+00:00,1
113.134.210.101,CN,100,2024-09-19T10:16:53+00:00,1
206.168.34.166,US,100,2024-09-19T10:16:52+00:00,1
64.227.159.106,IN,100,2024-09-19T10:16:52+00:00,1
62.36.40.105,ES,100,2024-09-19T10:16:52+00:00,1
89.248.163.197,NL,100,2024-09-19T10:16:51+00:00,1
45.148.10.240,RO,100,2024-09-19T10:16:51+00:00,1
80.66.83.47,PL,100,2024-09-19T10:16:51+00:00,1
190.173.72.142,AR,100,2024-09-19T10:16:51+00:00,1
103.246.194.229,IN,100,2024-09-19T10:16:51+00:00,1
95.38.197.204,IR,100,2024-09-19T10:16:51+00:00,1
181.177.226.10,PE,100,2024-09-19T10:16:51+00:00,1
52.161.126.236,US,100,2024-09-19T10:16:51+00:00,1
65.49.1.84,US,100,2024-09-19T10:16:50+00:00,1
191.36.149.136,BR,100,2024-09-19T10:16:50+00:00,1
78.128.113.250,BE,100,2024-09-19T10:16:50+00:00,1
147.185.133.140,US,100,2024-09-19T10:16:49+00:00,1
81.174.18.146,IT,100,2024-09-19T10:16:49+00:00,1
222.140.20.138,CN,100,2024-09-19T10:16:49+00:00,1
212.113.106.153,AT,100,2024-09-19T10:16:49+00:00,1
152.42.208.222,SG,100,2024-09-19T10:16:49+00:00,1
79.110.62.166,NL,100,2024-09-19T10:16:49+00:00,1
179.43.168.130,CH,100,2024-09-19T10:16:48+00:00,1
79.110.62.92,NL,100,2024-09-19T10:16:48+00:00,1
103.61.75.236,IN,100,2024-09-19T10:16:48+00:00,1
187.23.69.54,BR,100,2024-09-19T10:16:48+00:00,1
8.217.10.15,HK,100,2024-09-19T10:16:48+00:00,1
120.28.109.188,PH,100,2024-09-19T10:16:47+00:00,1
186.39.113.44,AR,100,2024-09-19T10:16:47+00:00,1
147.185.133.188,US,100,2024-09-19T10:16:47+00:00,1
167.71.254.209,US,100,2024-09-19T10:16:47+00:00,1
82.56.2.1,IT,100,2024-09-19T10:16:47+00:00,1
135.181.79.106,FI,100,2024-09-19T10:16:47+00:00,1
95.85.114.218,TM,100,2024-09-19T10:16:47+00:00,1
143.110.249.252,IN,100,2024-09-19T10:16:46+00:00,1
182.253.79.194,ID,100,2024-09-19T10:16:46+00:00,1
119.167.222.135,CN,100,2024-09-19T10:16:46+00:00,1
64.227.130.24,IN,100,2024-09-19T10:16:46+00:00,1
142.93.13.232,US,100,2024-09-19T10:16:45+00:00,1
101.47.5.97,SG,100,2024-09-19T10:16:45+00:00,1
103.236.192.222,ID,100,2024-09-19T10:16:45+00:00,1
147.185.132.201,US,100,2024-09-19T10:16:45+00:00,1
212.80.7.151,DE,100,2024-09-19T10:16:45+00:00,1
197.5.145.73,TN,100,2024-09-19T10:16:44+00:00,1
103.160.154.23,ID,100,2024-09-19T10:16:44+00:00,1
117.89.250.248,CN,100,2024-09-19T10:16:44+00:00,1
